Time	Key	Button	Event
26.829059      	i              	I              	+0000001
26.908080      	i              	I              	-0000001
27.020288      	m              	M              	+0000001
27.148677      	m              	M              	-0000001
27.244485      	p              	P              	+0000001
27.308063      	p              	P              	-0000001
27.404428      	o              	O              	+0000001
27.468268      	o              	O              	-0000001
27.484425      	r              	R              	+0000001
27.564541      	r              	R              	-0000001
27.644388      	t              	T              	+0000001
27.724392      	space          	Space          	+0000001
27.740299      	t              	T              	-0000001
27.804459      	space          	Space          	-0000001
29.524389      	k              	K              	+0000001
29.540078      	k              	K              	-0000001
31.940053      	backspace      	BckSpc         	+0000001
32.020076      	backspace      	BckSpc         	-0000001
33.836361      	m              	M              	+0000002
33.899624      	m              	M              	-0000002
33.964074      	a              	A              	+0000001
34.043882      	a              	A              	-0000001
34.139625      	t              	T              	+0000002
34.204156      	t              	T              	-0000002
34.364354      	p              	P              	+0000002
34.443837      	p              	P              	-0000002
34.572425      	l              	L              	+0000001
34.604326      	l              	L              	-0000001
34.684339      	o              	O              	+0000002
34.748200      	o              	O              	-0000002
34.828719      	t              	T              	+0000003
34.891568      	t              	T              	-0000003
35.020198      	l              	L              	+0000002
35.067590      	l              	L              	-0000002
35.180296      	i              	I              	+0000002
35.228185      	i              	I              	-0000002
35.724385      	b              	B              	+0000001
35.788078      	b              	B              	-0000001
36.372544      	.              	s8             	+0000001
36.420482      	.              	s8             	-0000001
36.532778      	p              	P              	+0000003
36.580098      	p              	P              	-0000003
36.596260      	a              	A              	+0000002
36.691914      	a              	A              	-0000002
36.787788      	t              	T              	+0000004
36.852007      	t              	T              	-0000004
37.028273      	c              	C              	+0000001
37.108377      	c              	C              	-0000001
37.124385      	h              	H              	+0000001
37.156429      	h              	H              	-0000001
37.236792      	e              	E              	+0000001
37.316474      	e              	E              	-0000001
37.756083      	s              	S              	+0000001
37.804392      	s              	S              	-0000001
37.931809      	space          	Space          	+0000002
38.011830      	space          	Space          	-0000002
38.148046      	a              	A              	+0000003
38.211963      	s              	S              	+0000002
38.228421      	a              	A              	-0000003
38.324426      	s              	S              	-0000002
38.340089      	space          	Space          	+0000003
38.452513      	space          	Space          	-0000003
38.612426      	p              	P              	+0000004
38.708860      	p              	P              	-0000004
38.724815      	a              	A              	+0000004
38.820066      	a              	A              	-0000004
38.852422      	t              	T              	+0000005
38.964556      	t              	T              	-0000005
39.772297      	c              	C              	+0000002
39.836563      	c              	C              	-0000002
39.844392      	h              	H              	+0000002
39.900517      	h              	H              	-0000002
39.942902      	e              	E              	+0000002
40.044175      	e              	E              	-0000002
40.074244      	s              	S              	+0000003
40.154071      	s              	S              	-0000003
41.124379      	enter          	Enter          	+0000001
41.188221      	enter          	Enter          	-0000001
41.628059      	f              	F              	+0000001
41.676044      	f              	F              	-0000001
41.772428      	r              	R              	+0000002
41.836044      	r              	R              	-0000002
41.844411      	o              	O              	+0000003
41.900081      	o              	O              	-0000003
42.076044      	m              	M              	+0000003
42.172467      	m              	M              	-0000003
42.764424      	space          	Space          	+0000004
42.828082      	space          	Space          	-0000004
43.292420      	m              	M              	+0000004
43.420453      	m              	M              	-0000004
44.284386      	p              	P              	+0000005
44.363846      	p              	P              	-0000005
44.572421      	l              	L              	+0000003
44.636047      	l              	L              	-0000003
44.764390      	shift          	Shift_l        	+0000001
44.924394      	_              	s0             	+0000001
45.005758      	_              	s0             	-0000001
45.051800      	shift          	Shift_l        	-0000001
46.099952      	t              	T              	+0000006
46.148095      	t              	T              	-0000006
46.180094      	o              	O              	+0000004
46.244395      	o              	O              	-0000004
46.340089      	o              	O              	+0000005
46.404394      	o              	O              	-0000005
46.916216      	l              	L              	+0000004
